Region,Description of Property,Price (€)
Border,New Dwelling house /Apartment,128880.96198996229
Border,Second-Hand Dwelling house /Apartment,111297.40330151009
Dublin,New Dwelling house /Apartment,364164.97859217634
Dublin,Second-Hand Dwelling house /Apartment,383593.7655141025
Mid-East,New Dwelling house /Apartment,253623.11690964736
Mid-East,Second-Hand Dwelling house /Apartment,232647.11055659043
Mid-West,New Dwelling house /Apartment,174175.5649051141
Mid-West,Second-Hand Dwelling house /Apartment,144346.75538420386
Midland,New Dwelling house /Apartment,126492.6245682453
Midland,Second-Hand Dwelling house /Apartment,128702.53366410894
South-East,New Dwelling house /Apartment,161105.31194509234
South-East,Second-Hand Dwelling house /Apartment,147684.80356269478
South-West,New Dwelling house /Apartment,221107.62415454784
South-West,Second-Hand Dwelling house /Apartment,199646.4884051348
West,New Dwelling house /Apartment,158080.51110544664
West,Second-Hand Dwelling house /Apartment,158267.23785200051
