,mean,mean,mean
,Avg Income per Person,Pop (000s),Price (€)
County,,,
Carlow,19454.61243723825,56.93200000000066,139868.79995659954
Cavan,17862.01771946157,76.17599999999423,108581.92974218627
Clare,19168.789372700427,118.81700000001439,149835.8712185732
Cork,21279.67517220971,542.8999999998922,216625.84082825147
Donegal,16489.65097093829,159.1920000000235,111747.76506149005
Dublin,24969.206692736585,1347.3589999980177,380252.81507744844
Galway,19226.359520738977,258.1000000000137,191864.0560456667
Kerry,18557.10802481552,147.7069999999959,150654.1577992388
Kildare,23537.59173602242,222.50400000006894,248909.28822814897
Kilkenny,18974.758401642746,99.23200000000419,170249.10940935777
Laois,17302.135084076377,84.69699999998974,136481.34597183616
Leitrim,18841.4008888678,32.04399999999863,95162.74506497431
Limerick,23301.522983585033,194.89900000002407,156448.23952217205
Longford,17410.386303441614,40.87300000000312,87299.35503552973
Louth,19987.2953750088,128.88399999999763,171515.87870295602
Mayo,17850.93407886213,130.5069999999885,121769.5246768508
Meath,21608.87233996394,195.0440000000446,224024.7918760041
Monaghan,17470.551349960864,61.385999999998766,124149.01270906533
Offaly,16906.597284779305,77.96100000000558,129888.39572436498
Roscommon,17625.47701218863,64.54399999999576,97771.1414442056
Sligo,18305.714192555373,65.53499999999572,129508.68448436314
Tipperary,19673.208882155715,159.55300000001077,132229.4762853824
Waterford,19615.596282203136,116.1759999999842,145136.60049925625
Westmeath,17889.26486429668,88.7700000000086,139757.68850709175
Wexford,18786.62244007005,149.7220000000159,146003.86560688427
Wicklow,21882.688580693524,142.42500000002792,292961.5815144231
